관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
국립부산과학관,41282,49376,67185,93087,81755,92278,74470,78517,54233,72851,33997,42091,12951,15379
아홉산숲,3358,3358,8607,8187,13855,11126,16164,14904,25401,28340,29809,24351,12385,10076
