관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
대왕암공원,26209,25201,87701,77621,84677,68548,83669,78629,97782,117943,99798,91734,40322,29233
태화강국가정원,15587,20425,38162,45150,37625,41388,36550,38700,48913,66650,51600,52675,19887,23650
슬도,9321,7735,15866,11900,19040,14081,18841,16065,19436,19635,17850,15866,6743,5950
울산테마식물수목원,1529,1548,1132,849,1246,1359,1623,1416,1472,1793,1793,1850,698,585
태화루,1298,1226,2128,2380,2597,2561,2741,2561,3354,4256,3571,3787,1623,2056
편백산림욕장,1862,1146,10173,4298,18627,4441,20919,8024,25218,12752,18054,9170,5301,3295
