순위,분류,관련 키워드,언급건수
254,배우자,마님,39
254,자녀,손녀딸,39
254,자녀,외동아들,39
254,자녀,첫째딸,39
254,회사동료,회사선배,39
259,기타가족,외손자,37
260,부모님,친정어머니,36
260,자녀,아들녀석,36
260,자녀,초보엄마,36
263,자녀,딸냄,35
263,자녀,삼둥이,35
265,자녀,저희딸,34
265,부모님,할마,34
267,기타가족,손자들,33
268,배우자,남의편,32
269,배우자,새색시,30
270,배우자,애아빠,28
271,자녀,맏딸,26
272,배우자,낭군님,25
272,자녀,둘째아들,25
272,부모님,외할무니,25
275,자녀,젖먹이,24
276,연인,약혼자,23
276,자녀,둥이맘,23
278,자녀,저희애,22
278,배우자,안사람,22
280,배우자,저희신랑,21
280,싱글,싱글족,21
282,자녀,울아이,20
282,부모님,시엄니,20
284,배우자,영감님,19
285,부모님,할멈,18
285,자녀,초보맘,18
287,기타가족,사돈댁,16
287,자녀,저희아들,16
287,자녀,첫째아들,16
290,기타가족,맏며느리,15
291,배우자,남푠님,14
291,배우자,애기아빠,14
291,연인,피앙세,14
291,자녀,셋째아이,14
295,부모님,셤니,13
295,자녀,울애들,13
295,자녀,여식,13
298,기타가족,육촌,12
298,자녀,딸자식,12
298,자녀,울아이들,12
301,기타가족,맏사위,11
301,기타가족,외손녀,11
301,회사동료,회사후배,11
301,연인,보이프렌드,11
305,기타가족,큰며느리,9
305,부모님,어머니아버지,9
307,자녀,첫딸,8
307,배우자,애들아빠,8
307,기타가족,손자손녀,8
310,부모님,시아부지,7
310,부모님,친정엄니,7
310,기타가족,외손주,7
310,자녀,쌍둥이맘,7
310,자녀,작은놈,7
310,자녀,전업맘,7
310,친구,학교친구,7
310,부모님,외할부지,7
318,싱글,나홀로족,6
318,싱글,싱글남,6
318,싱글,혼행,6
318,자녀,우리집애,6
318,부모님,친정아부지,6
323,배우자,아이아빠,5
323,부모님,할버지,5
323,자녀,첫아기,5
323,부모님,시아빠,5
323,부모님,증조모,5
323,부모님,시어른,5
323,부모님,외할머님,5
323,부모님,함무니,5
323,기타가족,며늘,5
323,기타가족,막내며느리,5
323,자녀,울집애,5
323,친구,여자사람친구,5
335,자녀,저희애들,4
335,기타가족,시댁어른,4
335,회사동료,회사상사,4
335,배우자,울랑,4
335,친구,여행친구,4
335,회사동료,사무실직원,4
335,배우자,영감탱이,4
342,자녀,울아드님,3
342,자녀,첫째아기,3
342,배우자,우리와이프,3
342,부모님,친정맘,3
346,기타가족,작은며느리,2
346,부모님,외할버지,2
346,싱글,혼자남,2
346,연인,피앙새,2
346,자녀,작은녀석,2
346,친구,결혼한친구,2
346,부모님,외할매,2
346,부모님,외할배,2
346,연인,울남친,2
346,부모님,할빠,2
346,부모님,예비시어머님,2
346,자녀,첫째아가,2
346,자녀,울따님,2
346,부모님,시애미,2
346,부모님,시어미,2
361,배우자,아내느님,1
361,자녀,아들자식,1
361,자녀,우리집아이,1
361,친구,트위터친구,1
361,부모님,예비시어머니,1
361,자녀,울둥이,1
361,배우자,울서방,1
361,기타가족,첫손주,1
361,친구,남자사람친구,1
361,배우자,아이들엄마,1
361,기타가족,첫손녀,1
361,연인,걸프렌드,1
361,자녀,일하는엄마,1
361,기타가족,며늘아기,1
361,부모님,기러기아빠,1
361,싱글,싱글여성,1
361,부모님,예비시아버님,1
361,싱글,싱글녀,1
361,자녀,제아이,1
361,자녀,첫아들,1
