순위,분류,관련 키워드,언급건수
250,배우자,남의편,24
256,자녀,아들딸,23
256,배우자,새색시,23
256,부모님,친정아버지,23
259,연인,보이프렌드,22
260,배우자,우리신랑,20
261,자녀,아들녀석,19
262,기타가족,숙부,18
262,자녀,딸냄,18
262,친구,학교친구,18
265,기타가족,외손녀,17
265,자녀,초보맘,17
265,배우자,저희남편,17
265,배우자,애아빠,17
265,회사동료,회사선배,17
265,기타가족,시동생,17
271,배우자,낭군님,16
271,배우자,저희신랑,16
273,기타가족,맏며느리,15
273,자녀,맏아들,15
273,기타가족,외손자,15
273,부모님,할마,15
277,부모님,외할무니,14
278,배우자,남푠님,13
278,자녀,울애들,13
280,부모님,증조부,12
280,자녀,저희애,12
280,자녀,맏딸,12
280,부모님,친정아빠,12
280,부모님,시엄니,12
285,기타가족,육촌,11
285,자녀,둘째아들,11
285,자녀,첫째아들,11
285,부모님,함무니,11
289,기타가족,손자손녀,10
289,자녀,울아이,10
291,배우자,영감님,9
291,자녀,저희아들,9
293,부모님,할멈,8
293,싱글,나홀로족,8
293,부모님,할버지,8
293,싱글,싱글족,8
293,싱글,혼자남,8
293,자녀,둥이맘,8
299,자녀,전업맘,7
299,부모님,외할머님,7
299,배우자,울서방,7
299,자녀,셋째아이,7
303,싱글,싱글남,6
303,연인,피앙세,6
303,자녀,외동아들,6
306,연인,걸프렌드,5
306,자녀,저희애들,5
306,기타가족,사돈댁,5
306,부모님,시어른,5
306,부모님,친정엄니,5
306,연인,피앙새,5
306,부모님,시아빠,5
306,부모님,시아부지,5
306,자녀,젖먹이,5
306,배우자,애기아빠,5
306,배우자,아이아빠,5
317,회사동료,회사후배,4
317,싱글,혼행,4
317,자녀,첫딸,4
317,기타가족,외손주,4
317,기타가족,며늘,4
317,부모님,어머니아버지,4
317,자녀,울아이들,4
324,부모님,친정맘,3
324,자녀,딸자식,3
324,자녀,작은녀석,3
324,기타가족,시댁어른,3
324,자녀,작은놈,3
324,기타가족,큰며느리,3
324,부모님,기러기아빠,3
324,부모님,외할부지,3
324,자녀,울집애,3
324,자녀,첫아들,3
324,친구,남자사람친구,3
324,자녀,첫아기,3
336,회사동료,사무실직원,2
336,부모님,예비시어머니,2
336,자녀,우리집애,2
336,배우자,우리와이프,2
336,자녀,일하는엄마,2
336,배우자,영감탱이,2
336,연인,울남친,2
336,자녀,여식,2
336,배우자,애들엄마,2
336,친구,결혼한친구,2
336,기타가족,맏사위,2
336,부모님,할빠,2
336,배우자,우리영감,2
349,부모님,예비시아버지,1
349,부모님,증조모,1
349,배우자,애들아빠,1
349,배우자,제아내,1
349,부모님,친정아부지,1
349,싱글,싱글녀,1
349,자녀,외둥이,1
349,친구,여자사람친구,1
349,배우자,울랑,1
349,자녀,첫째아가,1
349,기타가족,첫손주,1
349,배우자,와이프느님,1
349,부모님,셤니,1
349,배우자,아이들엄마,1
349,부모님,시압지,1
349,기타가족,막내며느리,1
349,부모님,외할매,1
349,부모님,외함무니,1
349,연인,울여친,1
349,자녀,울아드님,1
349,자녀,제아이,1
349,자녀,첫아가,1
349,부모님,외할아버님,1
349,부모님,외할배,1
