순위,분류,관련 키워드,언급건수
255,자녀,둘째아이,18
255,자녀,초보엄마,18
255,자녀,아들녀석,18
259,기타가족,맏며느리,17
259,배우자,영감님,17
261,배우자,주말부부,16
261,자녀,딸냄,16
263,연인,약혼녀,15
263,배우자,새색시,15
263,배우자,아자씨,15
266,자녀,큰놈,14
266,배우자,애아빠,14
268,배우자,마님,13
268,부모님,어머니아버지,13
270,배우자,울신랑,12
270,부모님,외할무니,12
270,자녀,맏딸,12
273,부모님,친정아빠,11
273,자녀,직장맘,11
273,자녀,울애들,11
276,부모님,시엄마,10
276,부모님,시엄니,10
276,자녀,저희아들,10
279,자녀,첫째딸,9
279,회사동료,회사선배,9
279,자녀,저희애,9
279,회사동료,직장상사,9
279,자녀,여식,9
279,부모님,할멈,9
285,연인,썸녀,8
285,배우자,낭군님,8
285,자녀,둥이맘,8
285,자녀,울아이,8
289,기타가족,사돈댁,7
289,배우자,저희신랑,7
289,자녀,젖먹이,7
292,친구,학교친구,6
292,부모님,증조모,6
292,부모님,셤니,6
292,기타가족,외손주,6
292,배우자,남의편,6
292,부모님,함무니,6
292,연인,보이프렌드,6
292,자녀,첫딸,6
300,자녀,작은놈,5
300,기타가족,맏사위,5
300,기타가족,손자손녀,5
300,자녀,전업맘,5
304,부모님,시어미,4
304,친구,여자사람친구,4
304,회사동료,회사후배,4
304,부모님,친정아부지,4
304,자녀,첫째아들,4
304,부모님,시아부지,4
304,자녀,딸자식,4
304,자녀,울아이들,4
304,자녀,쌍둥이맘,4
304,자녀,첫아들,4
314,배우자,남푠님,3
314,부모님,시아빠,3
314,싱글,나홀로족,3
314,자녀,셋째아이,3
314,부모님,할마,3
314,연인,피앙세,3
314,자녀,우리집애,3
314,부모님,친정엄니,3
314,싱글,싱글족,3
323,자녀,울둥이,2
323,부모님,예비시어머니,2
323,회사동료,회사상사,2
323,기타가족,큰며느리,2
323,싱글,싱글남,2
323,연인,울남친,2
323,자녀,알파맘,2
323,부모님,할버지,2
323,부모님,외할매,2
323,부모님,외할배,2
323,기타가족,막내며느리,2
323,자녀,울집애,2
323,회사동료,사무실직원,2
323,기타가족,며늘,2
323,배우자,아이아빠,2
323,부모님,친정맘,2
323,싱글,혼행,2
340,자녀,첫째아기,1
340,자녀,우리집아이,1
340,부모님,기러기아빠,1
340,배우자,울랑,1
340,자녀,작은녀석,1
340,자녀,첫아기,1
340,배우자,우리와이프,1
340,배우자,애기아빠,1
340,부모님,외할머님,1
340,싱글,싱글녀,1
340,연인,걸프렌드,1
340,친구,여행친구,1
340,기타가족,며늘아기,1
340,배우자,애들아빠,1
340,싱글,혼자남,1
340,배우자,영감탱이,1
340,자녀,첫째아가,1
340,부모님,시어른,1
340,부모님,외할부지,1
340,부모님,외함무니,1
340,자녀,울아드님,1
340,자녀,저희애들,1
340,자녀,제아이,1
