순위,분류,관련 키워드,언급건수
251,부모님,시엄니,16
257,자녀,첫째아들,15
257,회사동료,회사직원,15
257,연인,썸녀,15
257,자녀,우리애들,15
257,기타가족,육촌,15
262,연인,약혼녀,14
262,자녀,딸냄,14
262,자녀,여식,14
262,자녀,외동아들,14
262,자녀,초보맘,14
262,기타가족,며늘,14
268,자녀,첫째딸,12
268,자녀,첫째아이,12
268,자녀,아들녀석,12
268,자녀,첫아이,12
272,배우자,남의편,11
272,부모님,시엄마,11
272,부모님,할멈,11
272,연인,남친몬,11
272,자녀,초보엄마,11
277,부모님,친정아빠,10
277,부모님,할마,10
277,자녀,저희아들,10
277,자녀,직장맘,10
281,배우자,영감님,9
281,싱글,싱글족,9
283,배우자,남푠님,8
283,자녀,저희애,8
283,부모님,외할무니,8
283,싱글,혼행,8
283,기타가족,며늘아기,8
283,기타가족,외손주,8
289,부모님,증조모,7
289,자녀,맏딸,7
289,자녀,울애들,7
289,배우자,애아빠,7
289,연인,보이프렌드,7
289,자녀,울아이,7
289,기타가족,손자손녀,7
289,기타가족,맏며느리,7
297,배우자,애기아빠,6
297,연인,여친님,6
297,자녀,작은놈,6
297,부모님,시아부지,6
297,배우자,저희신랑,6
302,부모님,시아빠,5
302,자녀,딸자식,5
302,친구,여행친구,5
302,부모님,함무니,5
302,친구,학교친구,5
302,자녀,첫아들,5
308,기타가족,큰며느리,4
308,부모님,친정아부지,4
308,자녀,울아드님,4
308,부모님,할버지,4
308,배우자,저희남편,4
313,배우자,애들아빠,3
313,자녀,저희애들,3
313,친구,남자사람친구,3
313,배우자,울서방,3
313,부모님,예비시어머니,3
313,싱글,혼자남,3
313,자녀,울아이들,3
313,자녀,작은녀석,3
313,배우자,아이아빠,3
313,싱글,싱글여성,3
313,자녀,첫딸,3
313,자녀,둥이맘,3
325,배우자,저희와이프,2
325,부모님,기러기아빠,2
325,부모님,외할머님,2
325,부모님,친정맘,2
325,연인,울남친,2
325,자녀,제아이,2
325,싱글,나홀로족,2
325,배우자,우리영감,2
325,기타가족,첫손주,2
325,회사동료,회사선배,2
325,자녀,셋째아이,2
325,기타가족,막내사위,2
325,기타가족,사돈댁,2
325,싱글,싱글남,2
325,싱글,싱글남성,2
340,배우자,아내느님,1
340,자녀,첫아기,1
340,기타가족,맏사위,1
340,부모님,시어미,1
340,부모님,시어른,1
340,부모님,친정엄니,1
340,자녀,첫째아기,1
340,배우자,울랑,1
340,배우자,울랑이,1
340,친구,여자사람친구,1
340,회사동료,회사후배,1
340,부모님,외할아버님,1
340,자녀,우리집애,1
340,자녀,일하는엄마,1
340,회사동료,회사상사,1
340,배우자,남편느님,1
340,배우자,영감탱이,1
340,부모님,외할부지,1
340,부모님,외할매,1
340,연인,피앙새,1
340,친구,결혼한친구,1
340,배우자,울와이프,1
340,부모님,어머니아버지,1
340,부모님,외할배,1
340,기타가족,막내며느리,1
340,자녀,전업맘,1
340,기타가족,시댁어른,1
340,자녀,울따님,1
340,자녀,첫째아가,1
340,부모님,예비시아버지,1
