관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
국립부산과학관,90658,160272,174033,152987,127084,76088,28330
아홉산숲,6716,16794,24981,31068,53741,54160,22461
