관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
현충사,41495,69410,108643,144103,181827,159193,49794
국립공주박물관,32152,54971,72602,100089,110979,99569,48228
국립부여박물관,76397,49759,59308,88963,110073,81926,36690
수덕사,17856,33482,49106,79240,167969,148996,60825
영인산자연휴양림,15630,19104,43418,62811,73811,58759,15920
아산스파비스,19138,26692,50364,62450,52630,34246,6547
백제문화단지,25476,50133,49037,53420,48215,36709,10410
천안상록리조트,8293,32465,36257,43603,64931,43840,7582
개화예술공원,20230,25554,31676,42591,68678,54836,22892
황금산,1267,24103,36064,35158,55274,26278,3261
선샤인랜드,14222,33818,30184,29393,23862,20069,6636
안면도쥬라기박물관,6996,11249,22774,27850,30594,27576,10289
광덕산,8036,13036,12322,24466,40361,47326,33039
아미미술관,2892,13681,13792,19798,29810,21467,9898
천안홍대용과학관,4374,10754,17408,19140,20507,13215,5741
각원사,3336,13347,18686,19086,37640,29764,11745
서산버드랜드,4886,6686,12773,18003,17059,16459,9858
세계꽃식물원,3614,12159,15116,17964,26399,22675,11502
봉수산자연휴양림,8279,7534,9861,13861,21769,21583,10325
합덕수리민속박물관,9875,6892,9670,13785,24382,22736,15637
서산용현리마애여래삼존상,5042,8068,12257,13032,18386,14895,5817
천안박물관,9368,14052,14211,13020,16354,9050,3493
태학산자연휴양림,931,11132,12789,10769,9837,5591,775
신성리갈대밭,1731,3463,6602,9308,16289,11960,4708
모덕사,2128,5480,8514,8514,15484,9738,3298
칠갑산자연휴양림,2344,3430,5993,8468,11813,8728,2648
예산황새공원,3338,3945,5280,7648,12504,16147,11836
연미산자연미술공원,2641,3843,6165,6686,9089,8448,3122
수리치골성지,1615,1900,5275,6463,12166,14115,5988
웅도,1230,4140,5706,5221,7869,9436,3729
고운식물원,1506,2289,2608,4986,7160,7045,3391
온양민속박물관,4621,4373,3629,4590,6638,4776,2356
고남패총박물관,1294,2521,3225,3429,5133,4656,2452
양촌자연휴양림,1611,1127,2619,3426,3748,5159,2458
만수산자연휴양림,948,1171,1171,2640,4407,6099,2156
서동요테마파크,1821,1365,1773,2439,3513,3660,1691
그림같은수목원,521,1181,1565,1991,3365,3516,1579
칠갑산휴양랜드,493,1054,744,1364,2005,1378,346
임립미술관,282,1079,1116,1326,2671,1875,786
속동전망대,333,466,649,1054,1510,1480,564
백마강레저파크,232,604,880,915,1364,1412,562
안견기념관,247,488,823,790,630,291,118
조류생태전시관,206,278,413,597,807,756,331
