"POI번호",114449
"관광타입","음식점"
"음식점명","행운커피호프"
"주소(도로명)","서울 구로구 구로동로25길 5-6"
"대표번호","없음"
"영업시간","상황에 따라 다름 "
"휴무일","상황에 따라 다름 "
"취급메뉴","아메리카노, 카페라떼"
"주차시설 유무","없음"
