"POI번호",562396
"관광타입","음식점"
"음식점명","원조민속순대타운"
"주소(도로명)","서울 관악구 신림로59길 14"
"대표번호","없음"
"영업시간","상황에 따라 다름"
"휴무일","상황에 따라 다름"
"취급메뉴","원조백순대, 양념순대곱창"
"주차시설 유무","없음"
