"POI번호",553303
"관광타입","음식점"
"음식점명","스타벅스 자양사거리점"
"주소(도로명)","서울 광진구 아차산로 355"
"대표번호","1522-3232"
"영업시간","07:30/08:00~21:00/22:00"
"휴무일","전화문의"
"취급메뉴","카페 아메리카노, 카페 라떼"
"주차시설 유무","있음"
