"POI번호",361158
"관광타입","음식점"
"음식점명","다해포차"
"주소(도로명)","인천 부평구 부평문화로 130"
"대표번호","없음"
"영업시간","상황에 따라 다름"
"휴무일","상황에 따라 다름"
"취급메뉴","산낙지, 해삼"
"주차시설 유무","있음"
