"POI번호",543478
"관광타입","음식점"
"음식점명","샤브보트 그랜드백화점 일산점"
"주소(도로명)","경기 고양시 일산서구 중앙로 1436"
"대표번호","없음"
"영업시간","상황에 따라 다름"
"휴무일","상황에 따라 다름"
"취급메뉴","소고기샤브, 소고기토마토샤브"
"주차시설 유무","있음"
