관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
경복궁,196190,696816,706963,588572,524303,456650,213103
국립중앙박물관,244703,581169,686528,645744,570974,424832,241304
덕수궁,78195,547368,630957,563547,512315,264246,102463
남산골한옥마을,56651,303693,170885,133735,141166,84513,38077
창경궁,25745,184663,161579,137609,158028,142048,78126
서대문자연사박물관,25090,48214,38374,45754,42556,29764,16234
