관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
전주동물원,85252,119203,145608,119203,117693,113922,53565
광한루원,78248,104588,84445,116984,161919,139452,89868
한국도로공사수목원,58204,82353,98453,134367,136225,79257,29721
국립전주박물관,46633,66554,71082,84212,96889,65649,22637
고창읍성,64640,52926,49455,69845,98479,67677,31235
군산근대역사박물관,13419,45627,42407,47506,55827,43480,19861
모악산도립공원,15309,44016,56136,94412,193290,160756,73360
대아수목원,18017,38880,40144,48363,79974,68910,21811
익산교도소세트장,5275,17226,14642,15288,19595,16903,18626
삼례문화예술촌,4678,13121,6614,7582,9302,7420,5054
아가페정원,4370,13112,13986,18107,35715,31344,8116
전북도립미술관,9333,10642,10468,14393,20849,15440,6106
고산자연휴양림,11912,10227,20335,27074,25028,17928,7700
지리산허브밸리,6139,9577,16455,19647,33892,28980,8227
팔복예술공장,1284,8433,9104,9886,14577,9662,2904
춘향테마파크,2900,5702,6194,8161,12732,9389,4079
줄포만갯벌생태공원,2870,4880,4258,6698,13158,9855,6124
장수누리파크,3246,3541,4574,6271,8558,7267,3393
부안누에타운,3389,3427,6311,6545,9622,6388,3350
순창장류박물관,2939,3388,5185,7063,9758,8288,4246
혼불문학관,2005,2661,2866,6019,12162,8558,6715
발효소스토굴,1295,2591,4146,9018,16742,11662,6323
달빛소리수목원,1872,2314,3408,4630,7336,4136,2262
무주향로산자연휴양림,558,2097,4474,4567,16547,11652,6804
부안청자박물관,1240,1921,5165,6567,9090,10452,5605
국립전북기상과학관,640,1316,1260,1714,2621,2045,1448
진안가위박물관,340,879,1149,2257,4743,3948,880
상록해수욕장,448,654,668,945,959,811,276
세심자연휴양림,144,80,143,186,569,348,107
소충사,9,12,28,25,68,68,26
