주소,위도,경도
Address,주소를 변환할 수 없음,주소를 변환할 수 없음
광주광역시 북구 중흥로91번길 12 (신안동),35.1641148251929,126.904709639234
광주광역시 북구 앰코로 30 (오룡동),35.220565448528,126.853128808966
"광주광역시 북구 신임로 2-1 (임동, 4,5층)",35.1639380152988,126.897895019226
광주광역시 북구 저불로70번길 6-6 (용봉동),35.1800084552094,126.896045483684
광주광역시 북구 경양로165번길 8 (중흥동),35.1608385203654,126.909831603097
광주광역시 북구 저불로 55 (용봉동),35.1794880474131,126.895145263482
광주광역시 동구 구성로194번길 19 (대인동),35.151950999344,126.915682992566
광주광역시 동구 의재로96번길 7 (소태동),35.1315963879034,126.938521062302
광주광역시 동구 천변우로 361-14 (호남동),35.1487688195816,126.911489953957
광주광역시 동구 중앙로160번길 16-21 (불로동),35.1465885975139,126.913979554487
광주광역시 동구 제봉로222번길 6-13 (대인동),35.1550397100129,126.914680636578
광주광역시 북구 북문대로19번길 30 (운암동),35.172778438504,126.882385140406
광주광역시 북구 천변우로257번길 18 (누문동),35.1553794241288,126.90395112972
광주광역시 북구 중흥로118번길 20 (신안동),35.1621224329942,126.906407097966
광주광역시 북구 서암대로305번길 11 (우산동),35.1659804288816,126.91717811666
광주광역시 북구 천변우로257번길 21 (유동),35.1557033489845,126.903921006359
광주광역시 북구 태봉로 82-3 (신안동),35.1634361524541,126.907684977275
광주광역시 북구 설죽로217번길 18 (용봉동),35.1792693053393,126.895791727893
광주광역시 북구 앰코로 36 (오룡동),35.2211066198918,126.853129701276
광주광역시 북구 중가로37번길 30-5 (유동),35.161185359529,126.905336376342
광주광역시 북구 경양로119번길 29 (신안동),35.1626002570736,126.906424880638
광주광역시 북구 면앙로155번길 13 (두암동),35.1769211943337,126.928951465401
광주광역시 북구 무등로202번길 12-5 (신안동),35.1646608509542,126.904917113949
광주광역시 북구 중흥로140번길 14 (중흥동),35.1617496573435,126.908805552675
광주광역시 북구 면앙로155번길 17 (두암동),35.1770379431579,126.929144796468
광주광역시 북구 경양로165번길 9-11 (중흥동),35.1609658831636,126.908868880091
광주광역시 북구 독립로 402 (우산동),35.1661032558069,126.916742442803
광주광역시 북구 독립로402번길 5 (우산동),35.1662179981641,126.91700433637
"광주광역시 북구 중흥로 75, 3~5층 (신안동)",주소를 변환할 수 없음,주소를 변환할 수 없음
"광주광역시 북구 중흥로73번길 11 (신안동,(지상1층~6층))",35.1647804208215,126.902373092082
광주광역시 북구 제봉로 255-7 (북동),35.1570701575656,126.911352442413
광주광역시 북구 독립로255번길 8 (북동),35.154608672553,126.910424651895
광주광역시 북구 서양로 170-26 (우산동),35.1662699589092,126.918930671279
광주광역시 북구 설죽로217번길 24 (용봉동),35.1793214324781,126.895094098911
광주광역시 북구 서하로183번길 58 (오치동),35.1924275220199,126.90112124118
광주광역시 북구 서암대로90번길 1 (신안동),35.1709639948896,126.894303060093
"광주광역시 북구 저불로 59, 1~4층 (용봉동)",주소를 변환할 수 없음,주소를 변환할 수 없음
광주광역시 북구 금호로6번길 8-1 (운암동),35.1696440274554,126.890625820381
"광주광역시 북구 하남대로832번길 9-5, 1층 (운암동)",35.1703796571955,126.883786859835
광주광역시 북구 경열로233번길 50 (유동),35.1611167972702,126.904343248901
광주광역시 북구 면앙로139번길 12 (두암동),35.1771223991872,126.927618448003
광주광역시 북구 앰코로 26 (오룡동),주소를 변환할 수 없음,주소를 변환할 수 없음
광주광역시 북구 면앙로155번길 9 (두암동),35.1767422969704,126.928835364284
광주광역시 북구 밤실로 207 (두암동),35.1655113990394,126.932653763869
광주광역시 북구 경양로119번길 22 (신안동),35.1622067682141,126.906249166174
광주광역시 북구 용두택지로 17 (용두동),35.213309748168,126.875563117605
광주광역시 북구 경열로233번길 28 (유동),35.1606872009367,126.905365271109
광주광역시 북구 금재로75번길 30 (북동),35.1576307332912,126.91113386271
"대구광역시 중구 동성로5길 94-17, 2,3,4층 (삼덕동1가)",주소를 변환할 수 없음,주소를 변환할 수 없음
대구광역시 중구 달성로21길 9-9 (달성동),35.8743075508514,128.581233555453
대구광역시 중구 달성공원로6길 12 (대신동),35.8727717294539,128.580179217154
대구광역시 중구 종로 37 (종로2가),35.8692070052363,128.591479579184
대구광역시 중구 달성로21길 9-10 (달성동),35.87444738589,128.581248956959
대구광역시 중구 중앙대로65길 17 (남산동),35.8619846807923,128.591827560725
대구광역시 중구 종로 44-31 (종로1가),35.8703346864842,128.592452511124
대구광역시 중구 명륜로26길 61 (대봉동),35.8571823761533,128.597381478692
대구광역시 중구 국채보상로99길 38 (시장북로),35.8722905005169,128.58307511604
대구광역시 중구 교동2길 29-11 (교동),35.8730852132009,128.598465114174
대구광역시 중구 북성로 100-23 (북성로1가),35.8738003965262,128.593138477529
대구광역시 중구 서성로 100 (수창동),35.875561863346,128.588082856144
대구광역시 중구 서성로16길 84 (대안동),35.873315887218,128.592164080259
대구광역시 중구 경상감영길 298-7 (동인동2가),35.8703548969446,128.603733649645
대구광역시 중구 국채보상로149길 10-9 (동인동4가),35.8690278794028,128.611677229967
"대구광역시 중구 중앙대로79길 32 (종로2가, 지상3~5층)",35.8692240578133,128.591906388129
대구광역시 달서구 달서대로95길 18 (호산동),35.8421921250746,128.489672851466
대구광역시 중구 달성공원로4길 39-20 (시장북로),35.8720857233712,128.581504720937
대구광역시 중구 명덕로 71-5 (남산동),35.858614066772,128.578598632004
대구광역시 중구 중앙대로81길 101 (남성로),35.8693068069464,128.588024435171
대구광역시 중구 공평로4길 31 (삼덕동2가),35.8653080296709,128.601770056359
대구광역시 중구 북성로 104-6 (향촌동),35.8741167505764,128.59367106546
"대구광역시 중구 중앙대로 446-2 (화전동, 지상2,3층)",35.872871124099,128.594613017628
대구광역시 달서구 당산로 161 (감삼동),35.8513080278359,128.547758740576
대구광역시 달서구 성당로21길 62 (성당동),35.8473475119506,128.565932587078
대구광역시 달서구 달서대로95길 23 (호산동),35.8418324440488,128.48910078695
대구광역시 달서구 이곡서로 12 (이곡동),35.8543375764341,128.505814790657
"대구광역시 달서구 이곡동로 7, 5~8층 (이곡동)",주소를 변환할 수 없음,주소를 변환할 수 없음
"대구광역시 달서구 성서공단로15길 14, 지하1~지상5층 (호림동)",35.8363870921802,128.490684606362
"대구광역시 중구 종로 23-23 (장관동, 지상1,2층)",35.8680601938179,128.590535188716
대구광역시 중구 경상감영길 300 (동인동2가),35.8705787504181,128.603665421823
대구광역시 중구 종로 76 (대안동),35.8726135290077,128.59111746772
대구광역시 중구 서성로14길 68-1 (대안동),35.8726561136382,128.591338094892
"대구광역시 중구 중앙대로77길 47 (장관동, 지상1~6층)",35.8683611308482,128.590844776719
대구광역시 달성군 화원읍 비슬로 2701,35.8089555116457,128.510697402595
대구광역시 달성군 화원읍 비슬로512길 2,35.8023967216082,128.496109804857
대구광역시 달성군 논공읍 비슬로 1768 ((토지합병으로1968-1->1963으로통합)),35.7726764041355,128.419448988059
대구광역시 달성군 논공읍 남리길 10,35.726280431216,128.44839418061
대구광역시 달성군 가창면 우록길 93,35.7279589549348,128.657795140243
대구광역시 동구 파계로138길 42 (중대동),35.9927118637812,128.639344290116
대구광역시 동구 팔공산로185길 43 (용수동),35.9903427053927,128.693916020493
대구광역시 동구 효동로 51-1 (효목동),35.8817836404427,128.645542297671
"대구광역시 달서구 달서대로91길 22, 1~5층 (호산동)",주소를 변환할 수 없음,주소를 변환할 수 없음
대구광역시 달서구 명덕로 13-4 (두류동),35.8610412101378,128.573839966186
대구광역시 달서구 달서대로95길 40 (호산동),35.8422291409168,128.487281470964
대구광역시 달서구 월배로34길 6 (상인동),35.8162351431758,128.531753416266
"대구광역시 달서구 성서공단로11길 64-5, 지하1~지상6층 (호산동)",35.8410297915865,128.488830784801
대구광역시 달서구 구마로11길 78 (본리동),35.8410010123298,128.534289400988
"대구광역시 달서구 진천로 68, 2~5층 (진천동)",주소를 변환할 수 없음,주소를 변환할 수 없음
대구광역시 달서구 대명천로 203 (본리동),35.8410937294489,128.537906169319
"대구광역시 달서구 와룡로18길 15, 2~4층 (본리동)",주소를 변환할 수 없음,주소를 변환할 수 없음
"대구광역시 달서구 성서로 413, 8~9층 (이곡동)",주소를 변환할 수 없음,주소를 변환할 수 없음
"대구광역시 달서구 달서대로95길 42, 8층 (호산동)",35.8421826088188,128.486890906789
"대구광역시 달서구 대명천로41길 12, 2~4층 (본리동)",주소를 변환할 수 없음,주소를 변환할 수 없음
대구광역시 달서구 호산동로 84-12 (호산동),35.8424816757494,128.487009713034
대구광역시 달서구 성서공단로11길 12-14 (호림동),35.835928457758,128.489640940556
"대구광역시 달서구 성서공단로15길 61, 1~5층 (호산동)",주소를 변환할 수 없음,주소를 변환할 수 없음
"대구광역시 달서구 호산동로 90, 1~3층 (호산동)",주소를 변환할 수 없음,주소를 변환할 수 없음
"대구광역시 달서구 성서공단로15길 12 (호림동, (2006.08.11 지번변경))",35.8360796604788,128.490630159778
대구광역시 서구 서대구로68길 25-3 (비산동),35.8885203871921,128.566713346282
대구광역시 서구 서대구로2길 10 (내당동),주소를 변환할 수 없음,주소를 변환할 수 없음
"대구광역시 서구 서대구로63안길 13, 2,3층 (비산동)",주소를 변환할 수 없음,주소를 변환할 수 없음
