관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
낙산사,22747,23945,65849,136487,107752,144867,93385,106555,99372,156840,81413,102963,27536,29931
소금산그랜드밸리,15494,16310,36698,35067,47299,39144,59532,54639,108463,121511,124773,102755,31805,22018
강원도립화목원,11710,8922,26767,18681,28998,23142,25652,19518,26488,23421,21191,21469,10037,13383
무릉계곡,7565,7565,16910,20916,18691,20026,31151,32486,61858,72093,63638,62303,17355,12015
구곡폭포,5242,3700,9560,13877,14494,16652,21278,24979,34539,49342,39782,46258,17269,10793
삼척해상케이블카,7188,7413,17971,17073,23138,18870,24486,17297,23363,22015,19094,13927,6963,5840
천곡황금박쥐동굴,6776,13876,11294,11133,9842,8390,11617,12746,15328,18394,13715,16780,6454,5001
국립춘천박물관,10411,9186,37155,31439,17148,11024,12861,12657,15515,14698,11024,11228,4695,4899
365세이프타운,4945,3090,4327,2197,4464,2403,5700,4258,8860,6112,7830,6731,3365,4327
무릉별유천지,3750,3194,9306,7084,9028,7362,16807,9862,22780,15140,15557,10695,4028,4028
수타사농촌테마공원,1107,976,1953,1888,3256,3061,4689,3777,8727,10355,10486,8271,4038,2540
국립두타산자연휴양림,1197,622,1676,958,1532,1868,5509,3784,11114,5173,5940,3592,2395,2539
국립춘천숲체원,6090,5270,8081,7027,9603,9955,10540,11009,14991,14522,8081,7144,2342,2459
국립산악박물관,3026,2405,6363,3647,5277,4734,8226,6751,9545,8692,7527,6674,2638,2173
태백고생대자연사박물관,929,854,1300,929,2192,1895,3530,2415,5872,4236,5426,3567,2081,2044
알파카월드,7235,10853,17486,19898,28541,34369,26330,22310,8240,8642,7034,6431,1406,2009
점봉산곰배령,614,478,1912,2459,2254,1844,3278,4098,10860,14754,11065,10451,2254,1980
강릉아트센터,1841,1886,3189,3862,2829,2650,3368,3728,5345,5165,4042,3593,1886,1572
박수근미술관,2406,2209,4181,2209,3668,2998,3037,3195,3629,3826,2998,2288,1341,1538
국립평창청소년수련원,2632,2717,3057,2208,2378,1741,3312,2802,6327,4288,4883,3269,1273,1486
강원도탄광문화촌,612,584,696,528,3674,1057,2449,2004,3145,2728,4565,2394,1893,1447
동강사진박물관,941,915,2014,1726,1909,1360,2642,2171,3165,2511,2354,1700,1412,1386
장호비치캠핑장,2679,2615,4210,4720,7017,6762,7336,5996,5486,5805,4529,3955,1403,1212
치악산자연휴양림,1511,1028,3386,2479,4656,3265,6470,5019,9493,7679,7196,5381,1693,1209
박경리문학공원,2720,2493,7027,5554,5780,3853,5554,4987,5894,5554,2833,2663,793,963
선자령,1039,999,3318,3358,3917,3518,3637,2878,3837,4197,4077,3078,1119,959
복주산자연휴양림,1902,371,20839,1438,3713,1113,1763,1021,2831,2552,3573,2413,1949,835
별마로천문대,1482,1235,3521,3335,4200,4633,6919,4880,9760,6857,8463,4200,1482,803
영월동굴생태관,901,746,1184,952,2059,1956,2934,2033,3346,3012,2986,1982,952,643
대관령박물관,194,323,258,204,560,431,851,722,1445,1542,1606,1250,765,614
횡성자연휴양림,2292,2552,1427,1600,3504,3374,7527,6316,5191,4110,2509,1557,692,605
팔봉산관광지,1282,1001,3406,2604,3767,3125,3967,2925,4849,3807,4608,3085,1082,601
비엔나인형박물관,841,785,3367,2132,2693,2160,3591,2413,3507,2272,1936,1346,561,448
난고김삿갓문학관,443,490,361,338,956,991,1260,1038,1283,980,1691,1026,490,303
양구백자박물관,234,260,369,285,478,268,964,503,1652,788,1132,704,453,302
맹방비치캠핑장,574,574,1094,908,1409,1261,2299,1780,2800,1928,1947,1279,408,296
국토정중앙천문대,251,179,409,316,725,387,689,351,1228,653,998,359,330,294
춘천숲자연휴양림,564,627,1426,1474,1787,1662,2054,1568,1505,1003,611,972,266,203
삼탄아트마인,352,243,528,744,852,839,1394,1313,2112,1787,1827,907,446,203
국제현대미술관,106,102,283,208,358,259,424,255,440,432,377,322,200,157
영월아프리카미술박물관,180,154,232,191,439,428,619,408,650,578,599,371,185,134
DMZ생태평화공원,319,21,4137,101,443,50,327,50,516,305,574,210,101,109
인도미술박물관,89,109,75,65,130,113,393,202,383,551,616,479,113,106
고판화박물관,56,46,342,153,368,225,761,219,710,531,992,332,281,97
에코빌리지,486,271,1084,486,837,319,789,542,965,813,757,414,111,87
조선민화박물관,152,128,221,177,384,340,419,310,641,503,725,710,157,59
타임캡슐공원,16,21,38,56,50,40,100,43,172,102,148,71,44,33
호야지리박물관,37,45,46,46,81,83,130,115,169,152,193,126,84,17
호안다구박물관,48,43,12,14,63,74,110,79,47,28,39,28,14,13
모형항공기박물관,3,2,15,10,23,11,26,10,30,15,27,9,9,7
