관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
진주성,48346,54792,87023,97498,63656,54792,61238,61238,62850,70102,45123,47540,23367,28202
매미성,21847,20726,53217,53217,44254,42573,47615,49856,56578,61619,41453,38092,12323,16805
이순신공원,37308,17672,33872,23072,41236,31417,51545,38781,66272,47126,45654,32399,15708,9327
황매산군립공원,17946,12995,34037,27848,38369,29086,47651,39606,95303,75500,82307,58791,34037,25991
사량도,6698,6698,16328,11304,36425,15491,41868,25121,70757,45217,65733,40612,21352,15491
사천바다케이블카,10963,10506,21012,13247,32432,21469,44766,31062,50704,45222,58926,55272,29235,31975
진해내수면환경생태공원,32248,26720,40080,24877,29484,26259,31788,31327,42384,42384,40541,40541,26259,25798
김해가야테마파크,10389,9906,15705,14980,19571,17155,24162,19571,32135,30685,23437,14980,5798,3141
화왕산군립공원,2463,3284,7800,8621,18474,11084,31612,25454,64456,72256,70614,62403,20938,10674
최참판댁,7057,5377,11426,18148,17476,21845,23862,25206,40666,46716,44363,37305,15460,21173
사천첨단항공우주과학관,693,415,9216,2217,16701,3257,14206,2564,13236,2009,2564,831,762,485
달아공원,2817,2154,9445,5799,15742,6462,22371,9611,31319,14914,22205,12262,6794,3811
물미해안전망대,4199,3849,14523,11724,12773,7699,19773,12598,27647,19423,22223,10849,4199,3324
창원과학체험관,9937,8257,12036,10776,11756,9797,11896,11056,14975,15395,10356,7977,2939,2939
원예예술촌,4789,4789,9407,11802,11460,11802,13512,16078,17447,24973,14710,17789,6157,6328
삼성궁,5495,5256,9080,11230,10991,14337,14098,18877,32497,38949,31064,29391,8841,9319
만어사,13540,8437,6279,6083,10988,7653,16091,12755,27080,22762,28453,20604,8634,6868
입곡군립공원,5514,3913,8894,9249,10317,10139,12807,13519,20812,27216,25615,15120,6759,7826
매물도,542,203,6103,881,9629,1220,11256,1763,16003,3255,12206,2102,2102,474
가야랜드,9031,8587,9624,10216,9179,10068,10808,11548,18063,21173,14362,9624,3701,1924
거제자연휴양림,3496,3691,5536,6216,8547,8742,10005,9616,10684,10199,8353,7090,2331,2622
창원의집,5941,6545,9063,10573,7955,8358,7250,8257,8962,11681,6142,6344,1711,1812
장사도해상공원,642,722,10032,1605,7865,2086,10674,3451,14446,7544,13964,3932,2247,1043
김해천문대,6597,6697,5997,5897,7597,8996,9996,8597,9096,10196,9396,5398,4298,1199
양산타워,4726,2933,4971,4889,7252,8230,8475,8801,7252,7497,4319,6274,2281,3667
거제맹종죽테마공원,7277,5544,5198,3927,7162,5775,9819,8663,13862,13746,13515,10974,5198,4736
옥포대첩기념공원,3413,3044,4428,4890,6643,5720,10149,7935,11441,11164,10703,7750,2952,1937
양산시립박물관,1925,1341,5600,3383,6475,3850,6475,4083,7117,6359,4783,3617,1633,1691
지심도,2519,2219,4259,2879,5939,4019,7378,5279,8158,5459,5579,3539,1679,1019
김해분청도자박물관,644,874,4098,1335,4742,2072,5847,2854,6584,4880,6262,2900,1703,1243
박경리기념관,3466,3218,4704,4147,4704,3899,5199,5509,9285,7985,4271,2104,2661,619
삼천포유람선,1147,1033,2640,1549,4247,2525,6083,3558,6715,5509,7862,7002,3673,3845
진주시립이성자미술관,1908,1875,2632,2534,4048,3916,3916,3587,2567,2435,1316,1349,427,427
진주익룡발자국전시관,1178,1505,2029,2356,4026,4092,3011,2749,3535,3437,1964,1538,687,589
진영역철도박물관,2050,1901,2236,1864,3728,3094,4026,3504,3579,3802,2721,2647,1006,1155
하동야생차박물관,1108,1411,2167,3225,3629,4082,3982,4234,5998,7208,4788,4990,1965,1612
공곶이,1270,931,2583,2287,3557,2626,4531,3642,5421,4616,5082,3261,1313,1185
함안연꽃테마파크,3220,1610,5202,1981,3468,2849,4892,5078,8299,6998,6998,6069,3158,2043
악양생태공원,672,856,2140,3670,3364,4526,3914,4893,6850,11622,7584,7156,1957,1957
섬이정원,1241,975,2792,1950,3014,2305,4876,3014,7048,5674,5364,3147,2127,842
하동레일파크,1139,880,1760,2227,2796,2744,3469,3314,6784,7975,7250,6266,2744,2537
남해유배문학관,2973,2470,3888,2195,2195,2149,4254,3705,6815,4803,3888,3019,1738,1692
진주청동기문화박물관,665,698,831,764,1363,1962,3126,1795,4955,3924,5321,4090,2361,1396
합천박물관,336,470,627,358,1188,650,2444,1457,2713,2511,3857,2287,2040,1457
조도,264,274,1004,327,1141,465,1331,549,1807,877,1278,591,348,285
지리산생태과학관,462,320,693,942,1085,1298,1334,1672,2098,2525,2205,1956,551,658
고려동유적지,502,275,632,518,907,761,1377,1150,2431,2479,2382,1539,518,696
목면시배유지,314,396,594,443,641,559,1002,793,1621,1399,1562,1247,606,478
고성탈박물관,236,307,313,294,358,288,614,640,851,729,896,576,147,147
박진전쟁기념관,203,120,240,314,305,555,805,462,1702,573,1526,1425,249,758
정글어드벤처,34,34,837,149,217,114,412,332,711,1801,1445,1479,2913,975
거제박물관,234,219,163,176,194,219,293,321,315,358,234,231,61,64
진주어린이박물관,88,73,146,161,133,135,165,184,193,230,180,217,105,133
해오름예술촌,0,0,0,0,0,0,0,0,0,0,0,0,0,0
