관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
광한루원,37962,40286,57330,47258,41835,42610,54231,62753,77473,84446,69726,69726,41060,48808
한국도로공사수목원,29102,29102,38390,43963,55728,42725,72447,61920,69351,66874,44582,34675,14241,15480
전주동물원,41494,43758,57338,61865,74690,70918,63374,55829,58092,59601,56584,57338,29423,24142
모악산도립공원,6379,8930,22327,21689,27430,28706,40189,54223,82292,110998,79102,81654,38913,34447
국립전주박물관,23996,22637,34409,32145,34862,36220,42106,42106,47992,48897,35315,30334,12224,10413
고창읍성,31669,32971,27331,25595,23426,26029,36007,33838,50324,48155,35574,32103,16919,14316
대아수목원,9167,8850,22127,16753,20862,19282,23707,24656,39829,40145,35719,33191,12644,9167
군산근대역사박물관,6173,7246,21203,24424,22277,20130,24961,22545,28182,27645,25229,18251,11809,8052
고산자연휴양림,5655,6257,5775,4452,9506,10829,13958,13116,12033,12995,9626,8302,3609,4091
지리산허브밸리,3929,2210,3806,5771,7859,8596,10069,9578,17560,16332,15104,13876,4789,3438
익산교도소세트장,2584,2691,8075,9151,9259,5383,8290,6998,10228,9367,9151,7752,9905,8721
전북도립미술관,4012,5321,5670,4972,5147,5321,7589,6804,10381,10468,8636,6804,2791,3315
아가페정원,2747,1623,8367,4745,10115,3871,12488,5619,23852,11863,22728,8616,4495,3621
춘향테마파크,1327,1573,2851,2851,3146,3048,4228,3933,6784,5948,5260,4129,2310,1769
삼례문화예술촌,2689,1989,7098,6023,3710,2904,3979,3603,4409,4893,3441,3979,2097,2957
발효소스토굴,673,622,1399,1192,2488,1658,5857,3161,9537,7205,6583,5079,2850,3473
순창장류박물관,1837,1102,2041,1347,2817,2368,4246,2817,5675,4083,4818,3470,2123,2123
부안누에타운,1909,1480,2025,1402,2766,3545,3779,2766,5999,3623,3194,3194,857,2493
혼불문학관,1105,900,1392,1269,1638,1228,3317,2702,7125,5037,4463,4095,4013,2702
부안청자박물관,600,640,1081,840,3684,1481,3924,2643,5486,3604,6928,3524,3363,2242
팔복예술공장,670,614,5082,3351,6535,2569,7317,2569,10668,3909,7205,2457,1787,1117
장수누리파크,1734,1512,2176,1365,2619,1955,3763,2508,4722,3836,4611,2656,1844,1549
달빛소리수목원,1248,624,1352,962,1847,1561,2523,2107,3746,3590,2133,2003,1014,1248
줄포만갯벌생태공원,1961,909,3732,1148,2488,1770,4593,2105,8469,4689,5406,4449,2440,3684
무주향로산자연휴양림,372,186,1631,466,2610,1864,3262,1305,6479,10068,9182,2470,4847,1957
진안가위박물관,198,142,482,397,695,454,1079,1178,2315,2428,2457,1491,568,312
국립전북기상과학관,320,320,730,586,730,530,940,774,1515,1106,1183,862,752,696
상록해수욕장,219,229,425,229,377,291,511,434,520,439,439,372,128,148
세심자연휴양림,125,19,42,38,88,55,117,69,447,122,236,112,79,28
소충사,4,5,7,5,20,8,17,8,48,20,48,20,16,10
