Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
2553566,대구아쿠아리움,인문(문화/예술/역사),문화시설,2.1,2.1,17.3,17.7,11.7,7.5,8.3,4.9,8.2,5.6,6.1,3.9,2.7,2.0,0,5.0,23.0
1835746,대구평화시장,쇼핑,쇼핑,3.7,3.4,14.4,10.0,8.0,5.6,7.2,5.6,7.3,9.7,7.2,8.2,3.8,5.7,0,6.0,23.0
2742300,대한수목원,자연,자연관광지,0.6,0.8,4.7,3.2,4.1,3.1,6.4,7.1,12.1,15.9,17.0,10.9,7.5,6.8,0,7.0,23.0
2756634,도림사,인문(문화/예술/역사),역사관광지,1.8,1.8,4.1,5.9,5.1,4.9,7.8,8.7,12.8,14.6,9.8,10.8,4.4,7.4,0,8.0,23.0
2742245,동구시장,쇼핑,쇼핑,4.0,3.2,7.0,6.0,8.0,6.3,7.8,5.9,11.9,10.4,7.4,10.4,4.4,7.3,0,9.0,23.0
2742496,동대구역광장,인문(문화/예술/역사),휴양관광지,2.2,2.4,12.7,15.3,8.4,7.5,7.3,5.9,9.7,9.5,6.6,6.8,3.1,2.6,0,10.0,23.0
126128,동촌유원지,인문(문화/예술/역사),휴양관광지,3.7,2.7,9.1,9.0,8.2,6.2,8.0,7.3,10.4,11.9,7.5,8.0,3.5,4.6,0,11.0,23.0
126160,동화사(대구),인문(문화/예술/역사),역사관광지,1.0,1.5,2.9,5.0,4.8,5.2,5.8,8.3,10.1,16.9,11.7,16.1,4.2,6.4,0,12.0,23.0
2581263,땅땅랜드(대구봉무동),인문(문화/예술/역사),체험관광지,6.1,5.7,8.6,7.3,9.4,8.5,10.0,9.1,8.1,9.7,5.8,6.6,2.6,2.6,0,13.0,23.0
2732572,목련시장,쇼핑,쇼핑,5.0,6.0,5.5,6.6,5.8,6.5,7.0,7.7,8.3,12.4,8.7,11.2,3.5,5.7,0,14.0,23.0
2742328,반야월종합시장,쇼핑,쇼핑,2.2,1.9,8.1,5.0,9.8,4.8,8.5,5.8,14.5,10.3,12.1,7.2,4.2,5.4,0,15.0,23.0
2745614,방촌종합시장,쇼핑,쇼핑,2.4,2.8,7.3,7.1,6.9,6.1,6.8,7.0,10.1,12.4,10.0,10.5,4.0,6.5,0,16.0,23.0
317499,부인사(대구),인문(문화/예술/역사),역사관광지,0.8,0.8,3.7,3.1,4.1,3.1,7.4,6.4,13.0,18.0,13.9,14.7,5.0,6.0,0,17.0,23.0
317502,북지장사(대구),인문(문화/예술/역사),역사관광지,0.7,0.8,4.9,3.1,4.4,3.4,5.8,6.3,16.7,18.3,15.0,13.0,4.2,3.3,0,18.0,23.0
2745591,송라시장,쇼핑,쇼핑,2.6,2.5,10.5,7.9,10.1,6.2,5.8,6.2,8.4,10.3,5.4,10.9,5.4,8.0,0,19.0,23.0
1326342,신숭겸장군유적,인문(문화/예술/역사),역사관광지,4.1,4.6,7.0,6.3,6.7,7.4,7.4,8.7,9.6,11.5,7.3,8.9,5.1,5.5,0,20.0,23.0
1248810,자연염색박물관,인문(문화/예술/역사),문화시설,1.2,1.7,4.9,4.1,4.9,6.4,6.7,8.0,11.1,17.2,11.6,12.2,4.9,5.1,0,21.0,23.0
126161,파계사,인문(문화/예술/역사),역사관광지,3.8,4.3,2.2,2.4,2.8,3.6,4.3,8.4,9.3,17.9,12.9,15.6,4.9,7.6,0,22.0,23.0
2744573,효목시장,쇼핑,쇼핑,2.9,2.3,8.7,5.3,6.2,3.5,6.0,5.0,9.6,13.7,9.4,11.5,6.7,9.3,0,23.0,23.0
2660638,공항교강변공원,인문(문화/예술/역사),휴양관광지,12.8,4.1,8.2,6.9,8.7,6.4,8.2,7.2,9.3,9.2,7.8,5.0,2.9,3.2,0,1.0,17.0
2766801,관음시장(대구),쇼핑,쇼핑,4.8,3.8,9.8,7.0,6.3,4.9,6.9,7.5,11.4,13.0,8.5,7.6,4.4,4.1,0,2.0,17.0
2742396,대구광역시수산물도매시장,쇼핑,쇼핑,2.7,2.3,8.2,4.7,10.1,5.7,10.6,6.7,13.8,11.8,10.7,7.6,2.8,2.2,0,3.0,17.0
2554087,대구교육박물관,인문(문화/예술/역사),문화시설,2.1,2.6,17.7,13.4,9.5,5.9,7.3,5.9,7.3,9.4,6.8,6.5,2.3,3.4,0,4.0,17.0
2744470,대구칠곡시장,쇼핑,쇼핑,3.7,3.6,7.8,7.1,7.2,6.0,6.9,7.1,11.1,12.8,8.9,8.9,3.3,5.5,0,5.0,17.0
998885,대구칠성시장,쇼핑,쇼핑,1.8,2.2,8.0,6.4,7.7,5.6,7.7,6.4,10.9,9.9,10.6,9.6,6.3,6.7,0,6.0,17.0
2742255,동대구시장,쇼핑,쇼핑,4.5,3.5,13.0,8.6,7.9,6.3,7.9,7.0,7.6,8.7,6.5,8.2,4.1,6.2,0,7.0,17.0
2742376,산격종합시장,쇼핑,쇼핑,3.0,3.9,8.7,8.0,5.3,5.6,5.5,6.3,8.0,14.4,9.0,11.8,3.7,6.7,0,8.0,17.0
2680458,서리지수변생태공원,자연,자연관광지,3.2,2.7,8.9,5.8,9.6,5.5,9.1,8.0,12.3,12.2,7.7,7.9,3.5,3.7,0,9.0,17.0
2751525,신전뮤지엄(신전히스토리뮤지엄),인문(문화/예술/역사),문화시설,4.0,3.7,9.2,7.5,7.2,5.9,6.6,6.7,11.1,14.1,8.4,7.5,3.6,4.5,0,10.0,17.0
250468,엑스코(EXCO),인문(문화/예술/역사),문화시설,2.7,3.2,8.0,7.2,10.2,7.8,10.8,9.4,11.1,11.7,6.9,6.4,2.3,2.2,0,11.0,17.0
2751504,옻골동산,인문(문화/예술/역사),휴양관광지,3.5,4.8,6.3,8.3,5.9,5.3,10.4,11.5,13.7,12.9,7.6,4.9,2.1,2.9,0,12.0,17.0
2676339,이태원길(대구),인문(문화/예술/역사),체험관광지,10.7,8.8,21.3,14.3,8.2,4.9,6.8,6.0,7.0,6.0,2.2,1.8,1.2,1.0,0,13.0,17.0
2744465,침산공원,인문(문화/예술/역사),휴양관광지,1.5,0.6,5.5,2.8,6.9,4.6,10.6,6.3,22.2,13.6,13.6,6.0,2.6,3.1,0,14.0,17.0
1116189,팔거산성,인문(문화/예술/역사),역사관광지,5.7,6.1,6.8,6.9,5.5,5.1,8.2,9.8,11.8,13.5,6.7,6.6,3.4,3.7,0,15.0,17.0
2744399,팔달시장,쇼핑,쇼핑,2.4,1.9,8.9,4.8,8.1,5.6,6.9,5.3,11.6,12.0,9.7,12.0,5.4,5.4,0,16.0,17.0
