관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
국립광주과학관,37297,22757,97984,63215,87237,42986,91662,38561,67640,36665,29079,11378,3160,3160
김대중컨벤션센터,28513,23167,82868,109599,91778,85541,77521,72175,83759,90887,54354,50790,18712,21385
국립광주박물관,28888,26825,44364,42301,35079,40753,38174,41785,51071,56745,41785,33015,17539,17539
충장사,228,258,338,597,756,407,1004,676,1363,1343,885,776,427,885
