관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
도담삼봉,25051,12525,258032,30062,288094,42587,420868,62629,721488,87680,380785,100206,55113,22546
청풍호반케이블카,16859,13617,33719,37610,51227,44743,52524,45391,79111,83002,75220,65493,27235,22047
솔향공원,14781,13197,27451,26395,33786,33786,42233,34314,68629,79715,60710,55959,17421,19005
청남대,10127,10633,23292,22279,37469,32406,40508,32406,62281,69370,62787,59243,23292,20760
정방사,7404,9520,22214,22214,26093,25740,29266,24330,51481,47955,34203,35261,8815,7757
배론성지,10336,12798,19197,19689,45285,43316,50208,36917,49223,57099,45778,62021,20181,20673
청주동물원,7146,7639,10842,12567,31049,34745,30063,19714,22424,18974,22671,16264,7885,3942
수주팔봉,1831,1415,8075,9491,6493,5161,6077,4495,9158,6244,9491,6410,5078,3829
옥화자연휴양림,4009,4276,7127,5078,9176,7840,10067,7305,8107,7305,8285,5880,2761,1870
월류봉,4202,5042,6723,5252,13026,7353,18069,11555,37399,25633,35928,21010,9664,9244
청풍문화재단지,3554,2517,6516,7700,10958,9477,11551,10810,16882,18807,18955,17919,6664,5627
율리휴양촌,3119,4210,6082,4834,7953,7173,13723,10760,24796,20741,26199,12476,8577,5302
문의문화재단지,1190,1548,3096,1905,3691,2679,4287,3632,8515,7979,8515,6490,3156,2858
성불산자연휴양림,2644,2339,3051,2949,5695,3152,9560,6204,15967,12204,18612,12509,4068,2746
충북알프스자연휴양림,2643,2643,2114,1510,4758,6344,7250,6268,9667,7703,13292,4984,2869,3549
옥계폭포,141,141,1887,613,2264,424,1981,5755,10190,11747,3868,5378,1179,1556
한독의약박물관,179,234,1544,537,1916,868,1985,965,2413,1020,1254,441,303,110
진천종박물관,735,650,1357,933,1922,1639,2629,2177,4495,2573,4665,2177,1611,678
천동관광지,842,865,1275,1116,1708,1640,2938,1913,2915,2072,2323,1867,728,569
조령산자연휴양림,1492,1421,1208,1421,2558,3126,5827,5969,9522,12719,10659,10019,3268,1847
오장환문학관,63,95,179,56,155,148,243,127,568,321,649,384,317,225
무극전적국민관광지,59,33,129,83,182,113,359,212,598,352,628,246,206,123
괴산한지체험박물관,62,48,97,59,128,74,231,179,625,285,551,248,131,128
난계국악박물관,26,21,57,49,72,74,140,120,281,123,166,130,75,63
안골관광농원,0,0,0,0,0,0,0,0,0,0,0,0,0,0
