관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
장태산자연휴양림,42750,39187,135376,138938,144282,140719,128251,146063,158532,247595,162095,187032,55219,57000
한밭수목원,63711,73771,150895,169338,169338,159278,169338,142512,147542,159278,98920,95567,36885,33532
대전오월드,82700,98267,50593,63241,114808,130375,108970,81727,57404,45728,47674,42809,29188,17513
대동하늘공원,6252,9011,27218,20413,13057,10114,10114,7908,18022,18206,10114,11770,11218,10482
국립중앙과학관,35857,28308,96878,54101,72973,56617,72344,44664,57246,37745,40261,19501,7549,5661
우암사적공원,14270,13158,31321,42811,9081,4818,9822,7783,9451,9637,8895,9822,8895,5559
