관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
인천어린이과학관,9775,16059,18386,14895,18386,15128,16524,16757,21877,29558,17222,19084,6982,12102
옥토끼우주센터,4856,3834,6262,4600,9201,7540,11630,8818,14825,14186,14314,16358,6645,4856
수도국산달동네박물관,3272,2592,3889,3518,4691,3951,5309,4506,6297,5494,5741,5556,3086,3827
인천나비공원,3382,2657,29237,6040,11719,6524,11115,6161,11960,10148,9907,7249,1933,2537
소창체험관,1855,1922,2327,1821,1889,1686,2529,2361,3541,3305,3407,3339,1787,1956
영종역사관,5369,5460,6279,7826,9009,10283,11011,10374,6643,7007,4186,4368,1638,1729
인천상륙작전기념관,1969,1850,4954,4357,5969,4417,6088,4536,6924,6506,4596,3939,1552,2089
인천도시역사관,5724,5406,7103,9223,10601,12191,11237,11767,9223,9859,4558,5830,1484,1908
녹청자박물관,1474,1442,2852,2243,3396,2627,3557,2788,3332,3044,2275,1762,576,672
강화화문석문화관,139,55,449,81,207,125,218,134,364,247,384,224,148,137
