관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
에버랜드,583157,675538,762146,877622,583157,640895,536966,438811,225179,150119,127024,109702,34643,28869
마장호수,34013,32596,75113,86451,126134,123299,137471,123299,151644,185657,120465,133220,43934,45351
서울대공원,86998,97873,83891,97873,158462,194193,158462,147587,102534,111855,93213,104087,63695,52820
용문산관광지,16317,14685,42424,38345,43240,46503,63637,63637,90560,113404,88928,101982,45688,45688
서울랜드,88531,102364,73314,89914,146629,179829,150779,131413,85764,84381,74698,84381,49798,40115
안양예술공원,25060,22782,52399,45564,66069,61512,60753,59993,74422,88851,68347,70625,31135,32654
벽초지수목원,5785,5785,36365,12397,45043,18595,50002,20662,73143,38844,54961,26447,14050,10744
국립과천과학관,23868,23325,31462,29292,54246,55331,52618,45024,48279,47194,46651,39057,24410,21698
한국민속촌,68458,85828,67436,101154,112393,152242,104219,104219,41892,63349,40870,49044,15326,15326
안성팜랜드,18718,21738,52533,41060,89971,76083,65818,54345,49514,46495,38041,26568,11472,12076
화담숲,33216,29525,116258,96882,118103,113490,97804,87655,47979,70124,34139,53515,11072,11994
시흥갯골생태공원,13670,15887,27341,22538,35100,30666,35469,29927,43968,37686,31036,24016,11084,10714
화성행궁,14852,26734,55449,112878,39606,45052,28219,27724,29209,35150,27229,25249,14357,13862
퍼스트가든,7504,6061,21069,16740,28862,21935,31459,21069,36366,28284,25398,23378,10101,9524
헤이리예술마을,7658,7991,31632,31632,37626,29301,37293,26637,34962,31632,23308,18646,6992,7325
병목안시민공원,10428,4635,12746,10197,19003,14368,12282,16454,16222,30128,21784,35690,13905,13905
세미원,7465,7672,11198,11405,13271,11820,17419,16174,23432,24677,21151,21981,10575,9331
시흥오이도박물관,3534,3313,25406,13918,32476,15023,33801,11930,32255,15464,18999,7953,3755,2872
연천호로고루,5617,1626,38437,3991,9313,4730,8722,6356,16261,14339,15522,12418,6504,3843
경기북부어린이박물관,2422,1695,9204,5328,10051,7024,9082,6055,13927,10415,14411,9688,13563,8235
애기봉평화생태공원,2546,1469,12536,3134,11361,4211,10381,6660,12732,8227,12144,6953,3427,2350
국립산음자연휴양림,2919,3336,5630,4796,8863,9697,10948,8863,11782,11574,10531,8654,3858,2815
전곡선사박물관,3631,3153,9078,4873,7358,6402,9556,7645,10989,9938,9556,7740,3058,2580
수원화성박물관,5224,6370,11977,17201,10066,9811,9174,8154,10575,10703,9428,9046,4841,4841
여주온천,1320,1056,2838,1848,4225,2178,6998,4159,12741,7790,8846,6073,3829,2046
황학산수목원,8061,6585,10332,8401,8288,7380,10445,9764,11921,11467,8288,6925,2724,2611
김포함상공원,877,945,5739,3511,6684,3848,6549,4253,9520,7359,8102,5604,2498,1890
배다골테마파크,6001,6001,9779,9001,8779,8112,8779,8890,9779,12335,7334,7557,4111,4778
여주박물관,3711,2985,5406,4841,6213,5567,7908,7585,9199,9441,7262,5971,2662,2017
축령산자연휴양림,1685,1143,3371,2468,3853,3251,4877,3793,6803,8068,7164,7285,3311,3130
경기도미술관,3545,3279,7002,6382,9396,7800,6648,6559,8332,9927,6914,6914,2659,3191
가나아트파크,2852,2941,5259,5437,9092,8646,9805,7576,9092,8913,6863,7041,3119,2585
남양주시립박물관,951,951,4162,4459,5648,5054,5529,4459,7016,6778,5767,4756,2259,1724
조명박물관,1452,1124,4122,2014,4590,1780,4731,2997,7729,4590,5714,3185,1358,1405
명성황후생가,3174,2116,8678,5503,5855,4021,7690,5079,8395,6984,5644,4021,1975,1481
국화도,769,688,2631,1295,3805,1983,5020,2469,7085,4129,4899,2915,1498,1255
해우재,4090,10588,7299,4251,8502,4652,7459,4171,9064,6577,4893,5213,1443,2085
한택식물원,1159,1283,4224,2277,3644,1863,3851,2650,5964,4183,4845,2774,1408,1325
용도수목원,790,553,3598,1265,5852,3400,5377,2253,5931,2807,4507,1937,751,553
산장관광지,1909,1670,4868,3007,4009,3150,4821,3532,5871,3723,4439,3389,1718,1575
용문산자연휴양림,1740,1574,2983,2361,3107,2652,4060,3770,4682,4185,4226,3024,1616,1408
다도박물관,789,411,4804,1269,4495,1235,3912,2368,4530,2608,4152,2127,995,652
안산갈대습지공원,2379,1937,5755,4372,5755,3874,5313,4206,6420,5866,3984,2988,1328,1162
자유수호평화박물관,620,457,2546,1436,2742,1958,2448,1567,3721,2742,3819,2644,3689,2154
안성맞춤박물관,931,931,2674,1352,3725,1682,3004,1862,3545,2674,3064,2163,1292,1141
우석헌자연사박물관,463,403,1713,1068,1652,1048,1894,1209,2821,1934,2479,1713,826,927
소울원,373,163,2938,839,3241,1049,3755,1236,4151,1725,2355,816,419,256
안산어촌민속박물관,1262,1115,2437,1615,3758,2818,3758,2261,3112,2202,2349,1615,616,469
칼봉산자연휴양림,988,930,5087,3808,2878,2006,2267,1802,2616,1918,2209,1453,610,494
수원광교박물관,1034,1222,5360,5548,7523,4702,5925,3950,4326,3009,1927,1457,611,470
청계목장,293,308,1250,601,1805,725,2284,941,2577,1203,1883,725,463,370
우농타조농장,633,709,1723,1951,2762,2661,2813,2357,2635,2635,1799,1470,557,582
판교박물관,1346,1187,3959,3404,6928,3840,6413,2731,3088,2058,1741,1741,514,633
호암미술관,10524,12610,10240,13463,9291,11188,9481,7964,3508,2370,1706,1517,568,474
덕포진교육박물관,162,174,1059,648,1234,710,1209,785,1757,1358,1495,1034,461,349
수원박물관,2319,2222,5894,5830,2705,2029,2190,1224,1997,1707,1449,1449,644,547
이천시립월전미술관,264,457,813,742,853,620,853,731,1280,1128,975,792,345,335
태풍전망대,843,187,7907,328,828,609,875,578,843,765,875,531,265,218
열쇠전망대,175,123,2465,117,500,45,487,188,553,344,722,364,208,208
영은미술관,332,605,485,432,571,485,611,551,598,665,465,458,192,192
서호미술관,78,78,326,313,417,334,465,361,600,508,395,261,117,87
한국등잔박물관,124,124,287,208,433,333,516,358,495,395,366,279,129,116
충현박물관,267,256,523,451,568,490,540,456,479,501,350,362,150,178
조병화문학관,47,39,170,94,249,141,332,167,469,264,309,175,91,68
모란미술관,126,115,169,150,185,164,239,216,241,232,180,169,77,77
영집궁시박물관,45,39,183,132,211,146,225,134,227,187,171,140,67,63
두루뫼박물관,71,41,140,79,136,93,162,102,192,139,127,101,42,33
안성허브마을,114,180,418,499,90,37,88,37,133,84,82,61,20,26
남송미술관,34,35,102,89,121,105,96,72,66,59,57,50,23,24
몽골문화촌,0,0,0,0,0,0,0,0,0,0,0,0,0,0
