관광지,10대 이하(남) 관광객 수,10대 이하(여) 관광객 수,20대 (남) 관광객 수,20대 (여) 관광객 수,30대 (남) 관광객 수,30대 (여) 관광객 수,40대 (남) 관광객 수,40대 (여) 관광객 수,50대 (남) 관광객 수,50대 (여) 관광객 수,60대 (남) 관광객 수,60대 (여) 관광객 수,70대 이상 (남) 관광객 수,70대 이상 (여) 관광객 수
강구항,68795,57788,167861,123832,214642,137591,244912,217394,390759,346730,291693,255920,123832,110073
문경새재도립공원,47302,43360,90663,96576,155705,134024,163589,163589,242427,275933,226659,210892,67012,53215
월영교,8539,9703,29111,36874,27559,30664,31052,38427,42309,53953,28335,29111,12809,9315
낙강물길공원,3363,4323,19217,24502,18256,18496,18977,22580,32910,30748,15854,16334,7206,7206
새마을운동테마공원,13105,10576,31960,22303,20923,12186,17014,22533,29660,22303,11496,9427,3908,2069
사방기념공원,7292,7077,20804,20804,19946,16729,21447,18016,22520,21233,15656,13297,5361,4289
분황사,5929,6819,7017,10575,7214,8499,8301,8104,7610,9586,6720,6621,2668,3063
포항시립미술관,8310,8938,10035,10349,11290,11760,13328,15053,13642,15837,12544,13955,5801,6115
운문사,6985,6681,8503,9718,15185,17918,24600,29763,39786,54971,37356,35230,8200,8200
등기산스카이워크,7144,6898,14782,9115,16753,12811,23159,20942,30550,29811,29811,24884,9608,10347
가산수피아,5426,6230,15074,8642,19294,15877,21304,15676,25324,23515,20500,12260,6431,5225
청도프로방스,4400,3800,7900,7500,9100,9200,9900,9300,10000,8300,9200,6100,2700,2500
경상북도수목원,3220,2990,15183,6901,10352,7591,16564,11042,36119,33128,35889,31748,10582,8972
직지사,3872,3407,6660,6814,7279,8518,9912,12390,17657,24781,19050,19825,7434,7589
박정희대통령역사자료관,6720,5018,6900,6631,6631,5197,7258,9229,10932,12187,5376,4390,2240,896
구미성리학역사관,1649,1319,4838,6048,5498,6048,6378,10667,13086,22323,12976,12646,4068,2419
축산항,5357,4762,14684,5953,21431,12303,19447,11311,25598,20042,25003,16867,9525,6151
대가야생활촌,7181,7694,6326,5813,16244,19321,22228,16928,20005,15218,15731,11114,3590,3761
다부동전적기념관,3752,3189,10883,5066,16325,7130,25519,9569,34151,19327,27959,9945,9945,4691
칠곡호국평화기념관,2808,2808,6161,4983,9060,7157,9875,7429,11869,8788,8607,5526,3352,2265
임고강변공원,2696,3007,5600,4978,9749,7986,11097,8297,11823,9334,11720,6534,5289,5600
독도,1700,1214,8500,4857,7042,5585,11171,10928,47114,52943,43957,36671,7285,3885
반곡지,1548,2221,5856,4779,4375,3163,5183,5183,6799,9222,5318,8482,2423,2625
경산시립박물관,2790,2258,5447,4450,5115,4251,5314,4782,7971,7639,6111,5447,2059,2723
구미과학관,855,727,8470,4106,7058,3678,5176,4320,3336,2523,1668,556,171,171
성주봉자연휴양림,4401,4232,4740,4063,8295,5756,9311,9311,22517,25734,26750,22686,12528,8973
국립칠곡숲체원,4118,3569,2951,3981,4255,4667,6314,7001,7206,10501,4941,5422,2059,1715
국립산림치유원,940,1880,4164,3694,2015,2888,7523,3828,10814,9807,7657,4164,3694,4164
청도신화랑풍류마을,1728,1209,3110,2635,3629,3024,3802,2549,5962,3629,4709,3499,1857,1857
성주역사테마공원,2828,3267,3804,2292,3852,2682,4681,4047,5998,4877,3755,3072,1706,1853
기림사,1481,479,1176,1699,1917,2527,2265,2352,5489,6143,6143,7014,2439,2396
울진과학체험관,5446,4433,1165,1317,937,911,1823,1671,1849,2381,987,1418,379,582
문장대,455,207,1781,1284,2776,1740,4475,2817,9364,5759,5718,3066,1243,663
불정자연휴양림,1141,946,1781,1196,1753,1252,3172,1948,4286,2504,3757,2477,834,779
구수곡자연휴양림,1086,841,1156,1016,2559,1191,3119,2348,5959,4206,5433,3225,1647,1262
권정생동화나라,1047,332,1354,894,971,1124,1507,2351,3296,2504,2836,2376,2376,2555
운주산승마자연휴양림,782,732,1236,858,1766,1514,2473,1842,3331,2827,2953,2095,1312,1514
옥성자연휴양림,844,785,1018,669,1484,1717,2678,2154,3580,4191,3842,2590,1950,1601
신촌숲,444,234,691,481,901,691,901,642,2162,1334,1210,1087,1149,407
안동임청각,291,298,536,474,589,467,681,651,842,919,559,689,314,337
국립김천치유의숲,695,126,852,442,726,695,1674,2053,6413,7424,4833,3569,1042,1074
상주국제승마장,459,448,729,358,560,516,1267,684,1491,560,1738,673,1009,729
지례예술촌,69,63,133,226,237,237,182,107,371,246,458,194,278,95
운강이강년기념관,317,271,253,208,661,661,1033,734,1033,1015,1359,679,353,489
선바위관광지,147,107,192,124,260,203,639,294,951,747,871,481,243,390
증산수도계곡캠핑장,120,68,120,116,201,181,278,201,632,499,543,556,302,205
영천목재문화체험장,68,39,165,102,189,123,252,136,404,354,378,212,126,78
예천목재문화체험장,27,16,119,76,267,125,310,239,1657,588,779,768,272,190
항일의병기념공원,6,5,17,16,26,16,34,20,58,53,58,43,26,28
