관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
낙산사,46692,202336,252619,199940,256212,184376,57467
소금산그랜드밸리,31804,71765,86443,114171,229974,227528,53823
알파카월드,18088,37384,62910,48640,16882,13465,3415
강원도립화목원,20632,45448,52140,45170,49909,42660,23420
삼척해상케이블카,14601,35044,42008,41783,45378,33021,12803
무릉계곡,15130,37826,38717,63637,133951,125941,29370
구곡폭포,8942,23437,31146,46257,83881,86040,28062
국립춘천박물관,19597,68594,28172,25518,30213,22252,9594
국립춘천숲체원,11360,15108,19558,21549,29513,15225,4801
천곡황금박쥐동굴,20652,22427,18232,24363,33722,30495,11455
무릉별유천지,6944,16390,16390,26669,37920,26252,8056
장호비치캠핑장,5294,8930,13779,13332,11291,8484,2615
국립산악박물관,5431,10010,10011,14977,18237,14201,4811
박경리문학공원,5213,12581,9633,10541,11448,5496,1756
별마로천문대,2717,6856,8833,11799,16617,12663,2285
치악산자연휴양림,2539,5865,7921,11489,17172,12577,2902
선자령,2038,6676,7435,6515,8034,7155,2078
팔봉산관광지,2283,6010,6892,6892,8656,7693,1683
횡성자연휴양림,4844,3027,6878,13843,9301,4066,1297
365세이프타운,8035,6524,6867,9958,14972,14561,7692
박수근미술관,4615,6390,6666,6232,7455,5286,2879
수타사농촌테마공원,2083,3841,6317,8466,19082,18757,6578
강릉아트센터,3727,7051,5479,7096,10510,7635,3458
비엔나인형박물관,1626,5499,4853,6004,5779,3282,1009
복주산자연휴양림,2273,22277,4826,2784,5383,5986,2784
강원도탄광문화촌,1196,1224,4731,4453,5873,6959,3340
국립평창청소년수련원,5349,5265,4119,6114,10615,8152,2759
점봉산곰배령,1092,4371,4098,7376,25614,21516,4234
태백고생대자연사박물관,1783,2229,4087,5945,10108,8993,4125
영월동굴생태관,1647,2136,4015,4967,6358,4968,1595
춘천숲자연휴양림,1191,2900,3449,3622,2508,1583,469
국립두타산자연휴양림,1819,2634,3400,9293,16287,9532,4934
동강사진박물관,1856,3740,3269,4813,5676,4054,2798
맹방비치캠핑장,1148,2002,2670,4079,4728,3226,704
난고김삿갓문학관,933,699,1947,2298,2263,2717,793
삼탄아트마인,595,1272,1691,2707,3899,2734,649
에코빌리지,757,1570,1156,1331,1778,1171,198
국토정중앙천문대,430,725,1112,1040,1881,1357,624
대관령박물관,517,462,991,1573,2987,2856,1379
영월아프리카미술박물관,334,423,867,1027,1228,970,319
양구백자박물관,494,654,746,1467,2440,1836,755
조선민화박물관,280,398,724,729,1144,1435,216
국제현대미술관,208,491,617,679,872,699,357
고판화박물관,102,495,593,980,1241,1324,378
DMZ생태평화공원,340,4238,493,377,821,784,210
인도미술박물관,198,140,243,595,934,1095,219
호야지리박물관,82,92,164,245,321,319,101
호안다구박물관,91,26,137,189,75,67,27
타임캡슐공원,37,94,90,143,274,219,77
모형항공기박물관,5,25,34,36,45,36,16
