관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
진주성,103138,184521,118448,122476,132952,92663,51569
진해내수면환경생태공원,58968,64957,55743,63115,84768,81082,52057
이순신공원,54980,56944,72653,90326,113398,78053,25035
매미성,42573,106434,86827,97471,118197,79545,29128
황매산군립공원,30941,61885,67455,87257,170803,141098,60028
만어사,21977,12362,18641,28846,49842,49057,15502
사천바다케이블카,21469,34259,53901,75828,95926,114198,61210
김해가야테마파크,20295,30685,36726,43733,62820,38417,8939
창원과학체험관,18194,22812,21553,22952,30370,18333,5878
가야랜드,17618,19840,19247,22356,39236,23986,5625
사량도,13396,27632,51916,66989,115974,106345,36843
김해천문대,13294,11894,16593,18593,19292,14794,5497
거제맹종죽테마공원,12821,9125,12937,18482,27608,24489,9934
창원의집,12486,19636,16313,15507,20643,12486,3523
최참판댁,12434,29574,39321,49068,87382,81668,36633
삼성궁,10751,20310,25328,32975,71446,60455,18160
원예예술촌,9578,21209,23262,29590,42420,32499,12485
입곡군립공원,9427,18143,20456,26326,48028,40735,14585
물미해안전망대,8048,26247,20472,32371,47070,33072,7523
양산타워,7659,9860,15482,17276,14749,10593,5948
거제자연휴양림,7187,11752,17289,19621,20883,15443,4953
박경리기념관,6684,8851,8603,10708,17270,6375,3280
옥포대첩기념공원,6457,9318,12363,18084,22605,18453,4889
화왕산군립공원,5747,16421,29558,57066,136712,133017,31612
남해유배문학관,5443,6083,4344,7959,11618,6907,3430
달아공원,4971,15244,22204,31982,46233,34467,10605
함안연꽃테마파크,4830,7183,6317,9970,15297,13067,5201
지심도,4738,7138,9958,12657,13617,9118,2698
진영역철도박물관,3951,4100,6822,7530,7381,5368,2161
진주시립이성자미술관,3783,5166,7964,7503,5002,2665,854
양산시립박물관,3266,8983,10325,10558,13476,8400,3324
진주익룡발자국전시관,2683,4385,8118,5760,6972,3502,1276
하동야생차박물관,2519,5392,7711,8216,13206,9778,3577
섬이정원,2216,4742,5319,7890,12722,8511,2969
공곶이,2201,4870,6183,8173,10037,8343,2498
삼천포유람선,2180,4189,6772,9641,12224,14864,7518
하동레일파크,2019,3987,5540,6783,14759,13516,5281
악양생태공원,1528,5810,7890,8807,18472,14740,3914
김해분청도자박물관,1518,5433,6814,8701,11464,9162,2946
장사도해상공원,1364,11637,9951,14125,21990,17896,3290
진주청동기문화박물관,1363,1595,3325,4921,8879,9411,3757
사천첨단항공우주과학관,1108,11433,19958,16770,15245,3395,1247
합천박물관,806,985,1838,3901,5224,6144,3497
지리산생태과학관,782,1635,2383,3006,4623,4161,1209
고려동유적지,777,1150,1668,2527,4910,3921,1214
매물도,745,6984,10849,13019,19258,14308,2576
목면시배유지,710,1037,1200,1795,3020,2809,1084
고성탈박물관,543,607,646,1254,1580,1472,294
조도,538,1331,1606,1880,2684,1869,633
거제박물관,453,339,413,614,673,465,125
박진전쟁기념관,323,554,860,1267,2275,2951,1007
진주어린이박물관,161,307,268,349,423,397,238
정글어드벤처,68,986,331,744,2512,2924,3888
해오름예술촌,0,0,0,0,0,0,0
