관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
태화강국가정원,36012,83312,79013,75250,115563,104275,43537
태화루,2524,4508,5158,5302,7610,7358,3679
대왕암공원,51410,165322,153225,162298,215725,191532,69555
슬도,17056,27766,33121,34906,39071,33716,12693
울산테마식물수목원,3077,1981,2605,3039,3265,3643,1283
편백산림욕장,3008,14471,23068,28943,37970,27224,8596
