관광지,10대 이하 관광객 수,20대 관광객 수,30대 관광객 수,40대 관광객 수,50대 관광객 수,60대 관광객 수,70대 이상 관광객 수
경상북도수목원,6210,22084,17943,27606,69247,67637,19554
사방기념공원,14369,41608,36675,39463,43753,28953,9650
포항시립미술관,17248,20384,23050,28381,29479,26499,11916
기림사,1960,2875,4444,4617,11632,13157,4835
분황사,12748,17592,15713,16405,17196,13341,5731
국립김천치유의숲,821,1294,1421,3727,13837,8402,2116
증산수도계곡캠핑장,188,236,382,479,1131,1099,507
직지사,7279,13474,15797,22302,42438,38875,15023
권정생동화나라,1379,2248,2095,3858,5800,5212,4931
낙강물길공원,7686,43719,36752,41557,63658,32188,14412
안동임청각,589,1010,1056,1332,1761,1248,651
월영교,18242,65985,58223,69479,96262,57446,22124
지례예술촌,132,359,474,289,617,652,373
구미과학관,1582,12576,10736,9496,5859,2224,342
구미성리학역사관,2968,10886,11546,17045,35409,25622,6487
박정희대통령역사자료관,11738,13531,11828,16487,23119,9766,3136
새마을운동테마공원,23681,54263,33109,39547,51963,20923,5977
옥성자연휴양림,1629,1687,3201,4832,7771,6432,3551
국립산림치유원,2820,7858,4903,11351,20621,11821,7858
영천목재문화체험장,107,267,312,388,758,590,204
운주산승마자연휴양림,1514,2094,3280,4315,6158,5048,2826
임고강변공원,5703,10578,17735,19394,21157,18254,10889
문장대,662,3065,4516,7292,15123,8784,1906
상주국제승마장,907,1087,1076,1951,2051,2411,1738
성주봉자연휴양림,8633,8803,14051,18622,48251,49436,21501
문경새재도립공원,90662,187239,289729,327178,518360,437551,120227
불정자연휴양림,2087,2977,3005,5120,6790,6234,1613
운강이강년기념관,588,461,1322,1767,2048,2038,842
경산시립박물관,5048,9897,9366,10096,15610,11558,4782
반곡지,3769,10635,7538,10366,16021,13800,5048
항일의병기념공원,11,33,42,54,111,101,54
선바위관광지,254,316,463,933,1698,1352,633
강구항,126583,291693,352233,462306,737489,547613,233905
축산항,10119,20637,33734,30758,45640,41870,15676
운문사,13666,18221,33103,54363,94757,72586,16400
청도신화랑풍류마을,2937,5745,6653,6351,9591,8208,3714
청도프로방스,8200,15400,18300,19200,18300,15300,5200
대가야생활촌,14875,12139,35565,39156,35223,26845,7351
신촌숲,678,1172,1592,1543,3496,2297,1556
성주역사테마공원,6095,6096,6534,8728,10875,6827,3559
가산수피아,11656,23716,35171,36980,48839,32760,11656
국립칠곡숲체원,7687,6932,8922,13315,17707,10363,3774
다부동전적기념관,6941,15949,23455,35088,53478,37904,14636
칠곡호국평화기념관,5616,11144,16217,17304,20657,14133,5617
예천목재문화체험장,43,195,392,549,2245,1547,462
구수곡자연휴양림,1927,2172,3750,5467,10165,8658,2909
등기산스카이워크,14042,23897,29564,44101,60361,54695,19955
울진과학체험관,9879,2482,1848,3494,4230,2405,961
독도,2914,13357,12627,22099,100057,80628,11170
